,price_USD,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude,type_casa,type_departamento,type_ph
0,122000.0,53.0,1.0,2136.5548604191617,2.0,-34.545467,-58.552177,0,1,0
1,150000.0,85.0,2.0,2136.5548604191617,2.0,-34.548748,-58.55684,0,1,0
2,289100.0,128.0,3.0,2136.5548604191617,2.0,-34.546143,-58.551445,0,1,0
3,200000.0,94.0,2.0,2136.5548604191617,2.0,-34.547916,-58.55587,0,1,0
4,200000.0,98.0,2.0,2136.5548604191617,2.0,-34.547894,-58.557316,0,1,0
5,320000.0,212.0,4.0,2136.5548604191617,3.0,-34.546024,-58.55754,1,0,0
6,375000.0,250.0,4.0,2136.5548604191617,4.0,-34.545208,-58.558044,1,0,0
7,150000.0,65.0,3.0,2136.5548604191617,2.0,-34.546497,-58.5606,1,0,0
8,75000.0,31.0,0.0,2136.5548604191617,1.0,-34.54572,-58.554474,0,1,0
9,72000.0,38.0,0.0,2136.5548604191617,1.0,-34.54648,-58.554108,0,1,0
10,280000.0,233.0,2.0,2136.5548604191617,2.0,-34.545486,-58.55402,1,0,0
11,396600.0,139.0,3.0,2136.5548604191617,2.0,-34.546143,-58.551445,0,1,0
12,89000.0,52.0,2.0,2136.5548604191617,1.0,-34.54653,-58.56051,0,0,1
13,95000.0,51.0,2.0,2136.5548604191617,1.0,-34.54564,-58.55931,0,0,1
14,198000.0,98.0,3.0,2136.5548604191617,2.0,-34.54599,-58.55156,0,1,0
15,188000.0,176.0,3.0,2136.5548604191617,1.0,-34.544796,-58.554695,1,0,0
16,480000.0,400.0,4.0,2136.5548604191617,4.0,-34.546204,-58.550915,1,0,0
17,140000.0,66.0,2.0,2136.5548604191617,1.0,-34.54756,-58.55311,0,1,0
18,77000.0,34.0,1.0,2136.5548604191617,1.0,-34.5458,-58.554466,0,1,0
19,125000.0,90.0,2.0,2136.5548604191617,2.0,-34.543,-58.553623,0,0,1
20,150000.0,53.0,2.0,2136.5548604191617,1.0,-34.54383,-58.55392,0,1,0
21,89000.0,52.0,2.0,2136.5548604191617,1.0,-34.54653,-58.56051,0,1,0
22,89000.0,48.0,1.0,2136.5548604191617,1.0,-34.546936,-58.55229,0,1,0
23,157000.0,70.0,2.0,2136.5548604191617,1.0,-34.546528,-58.552322,0,1,0
24,170000.0,77.0,2.0,2136.5548604191617,2.0,-34.545044,-58.55357,1,0,0
25,139000.0,72.0,2.0,2136.5548604191617,1.0,-34.54521,-58.552395,0,1,0
26,95000.0,49.0,1.0,2136.5548604191617,1.0,-34.54569,-58.554424,0,1,0
27,115000.0,55.0,1.0,2136.5548604191617,1.0,-34.54759,-58.55432,0,1,0
28,119000.0,75.0,2.0,2136.5548604191617,1.0,-34.548588,-58.55517,0,1,0
29,129000.0,88.0,2.0,2136.5548604191617,1.0,-34.54351,-58.554222,0,0,1
30,162000.0,70.0,2.0,2136.5548604191617,2.0,-34.547573,-58.558624,0,1,0
31,145000.0,72.0,2.0,2136.5548604191617,1.0,-34.547276,-58.556465,0,1,0
32,150000.0,68.0,1.0,2136.5548604191617,1.0,-34.546143,-58.551445,0,1,0
33,85000.0,40.0,1.0,2136.5548604191617,1.0,-34.549164,-58.554764,0,1,0
34,145000.0,70.0,2.0,2136.5548604191617,1.0,-34.547554,-58.5543,0,1,0
35,220000.0,85.0,2.0,2136.5548604191617,2.0,-34.54771,-58.55637,0,1,0
36,125000.0,92.0,2.0,2136.5548604191617,2.0,-34.54644,-58.559933,0,0,1
37,144000.0,58.0,2.0,2136.5548604191617,1.0,-34.547775,-58.556747,0,1,0
38,144000.0,62.0,2.0,2136.5548604191617,1.0,-34.547806,-58.556816,0,1,0
39,110000.0,40.0,1.0,2136.5548604191617,1.0,-34.548473,-58.557133,0,1,0
40,160000.0,70.0,2.0,2136.5548604191617,2.0,-34.54493,-58.55261,0,1,0
41,370000.0,280.0,4.0,2136.5548604191617,3.0,-34.54889,-58.555584,1,0,0
42,290000.0,130.0,3.0,2136.5548604191617,2.0,-34.54807,-58.555813,0,1,0
43,255000.0,107.0,3.0,2136.5548604191617,2.0,-34.54607,-58.551414,0,1,0
44,118000.0,62.0,2.0,2136.5548604191617,1.0,-34.548126,-58.555897,0,1,0
45,110000.0,60.0,2.0,2136.5548604191617,1.0,-34.546112,-58.55239,0,1,0
46,245000.0,245.0,3.0,2136.5548604191617,2.0,-34.543194,-58.556305,1,0,0
47,142000.0,100.0,3.0,2136.5548604191617,2.0,-34.542664,-58.555378,0,0,1
48,99000.0,45.0,1.0,2136.5548604191617,1.0,-34.548473,-58.557133,0,1,0
49,180000.0,90.0,2.0,2136.5548604191617,1.0,-34.54618,-58.55426,1,0,0
50,145000.0,78.0,2.0,2136.5548604191617,1.0,-34.54701,-58.5512,0,1,0
